timestamp,storename,address_original,address_normalize[0],address_normalize[1],最終更新日,url,開設者種別,開設者名,管理者名,歯科一般領域一覧,歯科口腔外科領域一覧,小児歯科領域一覧,矯正歯科領域一覧,施設状況一覧,対応可能ﾅ麻酔治療一覧,在宅医療,連携ﾉ有無,歯科医師(総数|常勤|非常勤),歯科技工士(総数|常勤|非常勤),歯科助手(総数|常勤|非常勤),歯科衛生士(総数|常勤|非常勤),前年度1日平均外来患者数,緯度,経度,page,診療科
2023-09-21,ヒカリ歯科クリニック,所沢市東町１３－１,埼玉県所沢市東町13-1,,2023年08月01日,http://www.iryo-kensaku.jp/saitama/kensaku/IryoSisetsuInfo.aspx?sy=m&cm=s&di=n&id=11260351&ir=03,na,白石正央,白石正央,na,na,na,na,['院内処方の有無(院内処方あり)'],na,na,na,1|-|-,na,na,0|-|-,0,na,na,1,歯科
2023-09-21,いしはた歯科クリニック,久喜市久喜中央１－３－１９ゆきビル１Ｆ,埼玉県久喜市久喜中央一丁目3-19,ﾕｷﾋﾞﾙ1f,2023年07月21日,http://www.iryo-kensaku.jp/saitama/kensaku/IryoSisetsuInfo.aspx?sy=m&cm=s&di=n&id=11223626&ir=03,na,医療法人社団 樹伸会 (理事長 石幡 一樹),石幡 一樹,"歯科領域の一次診療,成人の歯科矯正治療","埋伏歯抜歯,顎関節症治療",na,na,"['院内処方の有無(院内処方あり)', '車椅子等利用者に対する配慮(施設のバリアフリー化を実施している)', '受動喫煙を防止するための措置(施設内を全面禁煙としている)']",na,"歯科訪問診療,訪問歯科衛生指導","病院との連携,居宅介護支援事業所との連携",11|-|-,na,na,14|-|-,65,na,na,1,"歯科, 歯科口腔外科, 小児歯科, 矯正歯科"
2023-09-21,久喜総合歯科・矯正歯科,久喜市久喜中央１丁目３番２２号,埼玉県久喜市久喜中央一丁目3-22,,2023年07月21日,http://www.iryo-kensaku.jp/saitama/kensaku/IryoSisetsuInfo.aspx?sy=m&cm=s&di=n&id=11263407&ir=03,na,医療法人社団 樹伸会 (石幡 一樹),石幡 一樹,"歯科領域の一次診療,成人の歯科矯正治療","埋伏歯抜歯,顎関節症治療",na,na,"['院内処方の有無(院内処方あり)', '障害者に対するサービス内容(施設内点字ブロックの設置)', '車椅子等利用者に対する配慮(施設のバリアフリー化を実施している,多機能トイレの設置)', '受動喫煙を防止するための措置(施設内を全面禁煙としている)']",na,"歯科訪問診療,訪問歯科衛生指導",病院との連携,7|-|-,na,na,5|-|-,40,na,na,1,"歯科, 歯科口腔外科, 小児歯科"
2023-09-21,永田歯科クリニック,羽生市南１－１１－４１,埼玉県羽生市南一丁目11-41,,2023年07月17日,http://www.iryo-kensaku.jp/saitama/kensaku/IryoSisetsuInfo.aspx?sy=m&cm=s&di=n&id=11030437&ir=03,na,永田 国士,永田 国士,歯科領域の一次診療,"埋伏歯抜歯,顎関節症治療",na,na,"['院内処方の有無(院内処方あり)', '障害者に対するサービス内容(音声による情報の伝達)', '車椅子等利用者に対する配慮(施設のバリアフリー化を実施している)', '受動喫煙を防止するための措置(施設内を全面禁煙としている)']",na,na,病院との連携,1.0|-|-,na,na,2.0|-|-,31.2,na,na,1,歯科
2023-09-21,医療法人社団聖友会　聖歯科,さいたま市見沼区新堤６－２,埼玉県ｻｲﾀﾏ市見沼区大字新堤6-2,,2023年07月14日,http://www.iryo-kensaku.jp/saitama/kensaku/IryoSisetsuInfo.aspx?sy=m&cm=s&di=n&id=11049219&ir=03,na,医療法人社団聖友会 (針谷 路美),針谷 路美,歯科領域の一次診療,"埋伏歯抜歯,顎関節症治療,口唇、舌若しくは口腔粘膜の炎症又は外傷の治療",na,na,"['院内処方の有無(院内処方あり)', '受動喫煙を防止するための措置(施設内を全面禁煙としている)']",na,歯科訪問診療,病院との連携,2|-|-,na,na,1|-|-,20,na,na,1,歯科
2023-09-21,大宮アルティマ歯科,さいたま市大宮区仲町１－７－２ 大宮仲町ホクシンビル４階,埼玉県ｻｲﾀﾏ市大宮区仲町一丁目7-2, 大宮仲町ﾎｸｼﾝﾋﾞﾙ4階,2023年07月14日,http://www.iryo-kensaku.jp/saitama/kensaku/IryoSisetsuInfo.aspx?sy=m&cm=s&di=n&id=11261757&ir=03,na,石井 宏昌,石井 宏昌,na,na,na,na,['院内処方の有無(院内処方あり)'],na,na,na,13|-|-,na,na,2|-|-,20,na,na,1,歯科
2023-09-21,さくら歯科医院,草加市金明町２５５－１ 信用第一ビル２Ｆ,埼玉県草加市金明町255-1, 信用第一ﾋﾞﾙ2f,2023年07月06日,http://www.iryo-kensaku.jp/saitama/kensaku/IryoSisetsuInfo.aspx?sy=m&cm=s&di=n&id=11094320&ir=03,na,上田 康弘,上田 康弘,歯科領域の一次診療,埋伏歯抜歯,na,na,"['院内処方の有無(院内処方あり)', '受動喫煙を防止するための措置(施設内を全面禁煙としている)']",na,"歯科訪問診療,訪問歯科衛生指導",病院との連携,1.2|-|-,na,na,2|-|-,25,na,na,1,"歯科, 矯正歯科, 小児歯科"
2023-09-21,ハートピア歯科・矯正歯科,行田市持田１０８０ ベイシアフードセンター行田店内,埼玉県行田市大字持田1080, ﾍﾞｲｼｱﾌｰﾄﾞｾﾝﾀｰ行田店内,2023年07月03日,http://www.iryo-kensaku.jp/saitama/kensaku/IryoSisetsuInfo.aspx?sy=m&cm=s&di=n&id=11218150&ir=03,na,医療法人社団 メディデンタル (洲崎雄介),渡邉智一郎,"歯科領域の一次診療,成人の歯科矯正治療,著しく歯科診療が困難な者の歯科治療,摂食機能障害の治療","埋伏歯抜歯,顎関節症治療,口唇、舌若しくは口腔粘膜の炎症又は外傷の治療",na,na,"['院内処方の有無(院内処方あり)', '受動喫煙を防止するための措置(施設内を全面禁煙としている)']",na,"歯科訪問診療,訪問歯科衛生指導,歯科疾患在宅療養管理,在宅患者歯科治療時医療管理,在宅患者訪問口腔リハビリテーション指導管理","病院との連携,診療所との連携",3.0|-|-,na,na,2|-|-,44.9,na,na,1,"歯科, 矯正歯科, 小児歯科, 歯科口腔外科"
2023-09-21,ハートピア歯科・矯正歯科　北本診療所,北本市中丸８－１１７－１ カインズホーム北本中丸店内,埼玉県北本市中丸八丁目117-1, ｶｲﾝｽﾞﾎｰﾑ北本中丸店内,2023年07月03日,http://www.iryo-kensaku.jp/saitama/kensaku/IryoSisetsuInfo.aspx?sy=m&cm=s&di=n&id=11218363&ir=03,na,医療法人社団 メディデンタル (洲崎雄介),上田耕平,"歯科領域の一次診療,成人の歯科矯正治療,著しく歯科診療が困難な者の歯科治療,摂食機能障害の治療","埋伏歯抜歯,顎関節症治療,口唇、舌若しくは口腔粘膜の炎症又は外傷の治療",na,na,"['院内処方の有無(院内処方あり)', '車椅子等利用者に対する配慮(施設のバリアフリー化を実施している)', '受動喫煙を防止するための措置(施設内を全面禁煙としている)']",na,"歯科訪問診療,訪問歯科衛生指導,歯科疾患在宅療養管理,在宅患者歯科治療時医療管理,在宅患者訪問口腔リハビリテーション指導管理","病院との連携,診療所との連携,居宅介護支援事業所との連携",2|-|-,na,na,3|-|-,40,na,na,1,"歯科, 小児歯科, 歯科口腔外科, 矯正歯科"
2023-09-21,飯能地区歯科医師会立　休祝日緊急歯科診療所,飯能市小久保２９１,埼玉県飯能市大字小久保291,,2023年07月01日,http://www.iryo-kensaku.jp/saitama/kensaku/IryoSisetsuInfo.aspx?sy=m&cm=s&di=n&id=11037369&ir=03,na,一般社団法人飯能地区歯科医師会 (南野 剛一),南野 剛一,歯科領域の一次診療,na,na,na,"['院内処方の有無(院内処方なし)', '車椅子等利用者に対する配慮(施設のバリアフリー化を実施している)', '受動喫煙を防止するための措置(施設内を全面禁煙としている)']",na,na,"病院との連携,薬局との連携",1|-|-,na,na,1|-|-,1.3,na,na,1,歯科
2023-09-21,大宮銀座通り歯科,さいたま市大宮区宮町１－６７ 大宮あづまビル２Ｆ,埼玉県ｻｲﾀﾏ市大宮区宮町一丁目67, 大宮ｱﾂﾞﾏﾋﾞﾙ2f,2023年07月01日,http://www.iryo-kensaku.jp/saitama/kensaku/IryoSisetsuInfo.aspx?sy=m&cm=s&di=n&id=11249242&ir=03,na,小川信,小川信,"歯科領域の一次診療,成人の歯科矯正治療","埋伏歯抜歯,顎関節症治療,顎骨骨折治療,口唇、舌若しくは口腔粘膜の炎症又は外傷の治療",na,na,"['院内処方の有無(院内処方あり)', '受動喫煙を防止するための措置(施設内を全面禁煙としている)']",na,歯科訪問診療,"病院との連携,診療所との連携",3|-|-,na,na,2|-|-,50,na,na,1,歯科
2023-09-21,あおば歯科クリニック,狭山市広瀬東３－１２３－１,埼玉県狭山市広瀬東三丁目123-1,,2023年06月21日,http://www.iryo-kensaku.jp/saitama/kensaku/IryoSisetsuInfo.aspx?sy=m&cm=s&di=n&id=11017554&ir=03,na,医療法人 桜光会 (昆敏明),昆敏明,"歯科領域の一次診療,成人の歯科矯正治療,著しく歯科診療が困難な者の歯科治療","埋伏歯抜歯,顎関節症治療,口唇、舌若しくは口腔粘膜の炎症又は外傷の治療",na,na,"['院内処方の有無(院内処方あり)', '車椅子等利用者に対する配慮(施設のバリアフリー化を実施している)', '受動喫煙を防止するための措置(施設内を全面禁煙としている)']",na,na,"病院との連携,診療所との連携",6|-|-,na,na,23|-|-,138,na,na,1,"歯科, 矯正歯科, 小児歯科, 歯科口腔外科"
2023-09-21,たざき歯科医院,越谷市東大沢１－１１－１６,埼玉県越谷市東大沢一丁目11-16,,2023年06月21日,http://www.iryo-kensaku.jp/saitama/kensaku/IryoSisetsuInfo.aspx?sy=m&cm=s&di=n&id=11096233&ir=03,na,田崎勇次,田崎勇次,"歯科領域の一次診療,著しく歯科診療が困難な者の歯科治療","埋伏歯抜歯,顎関節症治療,口唇、舌若しくは口腔粘膜の炎症又は外傷の治療",na,na,"['院内処方の有無(院内処方あり)', '障害者に対するサービス内容(施設内の情報の表示)', '車椅子等利用者に対する配慮(施設のバリアフリー化を実施している)', '受動喫煙を防止するための措置(施設内を全面禁煙としている)']",na,歯科訪問診療,病院との連携,1|-|-,na,na,2|-|-,20,na,na,1,"歯科, 小児歯科, 歯科口腔外科"
2023-09-21,みさと歯科クリニック,三郷市鷹野４－２１１－２,埼玉県三郷市鷹野四丁目211-2,,2023年06月13日,http://www.iryo-kensaku.jp/saitama/kensaku/IryoSisetsuInfo.aspx?sy=m&cm=s&di=n&id=11097353&ir=03,na,松元聰,松元聰,歯科領域の一次診療,埋伏歯抜歯,na,na,"['院内処方の有無(院内処方あり)', '受動喫煙を防止するための措置(施設内を全面禁煙としている)']",na,na,"病院との連携,診療所との連携",1|-|-,na,na,2|-|-,22.6,na,na,1,"歯科, 小児歯科"
2023-09-21,大和田駅前朝霧歯科クリニック,さいたま市見沼区大和田町２－１３１６－１ 細沼第２ビル２階,埼玉県ｻｲﾀﾏ市見沼区大和田町二丁目1316-1, 細沼第2ﾋﾞﾙ2階,2023年06月09日,http://www.iryo-kensaku.jp/saitama/kensaku/IryoSisetsuInfo.aspx?sy=m&cm=s&di=n&id=11262427&ir=03,na,朝霧 志保,朝霧志保,"歯科領域の一次診療,成人の歯科矯正治療","顎関節症治療,口唇、舌若しくは口腔粘膜の炎症又は外傷の治療",na,na,"['院内処方の有無(院内処方あり)', '受動喫煙を防止するための措置(施設内を全面禁煙としている)']",na,歯科訪問診療,"病院との連携,診療所との連携,居宅介護支援事業所との連携,薬局との連携",1|-|-,na,na,2|-|-,15.7,na,na,1,歯科
2023-09-21,医療法人社団白報会　つばさ総合診療所,入間市下藤沢三丁目２５番１,埼玉県入間市大字下藤沢三丁目25-1,,2023年06月08日,http://www.iryo-kensaku.jp/saitama/kensaku/IryoSisetsuInfo.aspx?sy=m&cm=s&di=n&id=11229713&ir=02,na,医療法人社団白報会 (白 昌善),藤森 努,歯科領域の一次診療,口唇、舌若しくは口腔粘膜の炎症又は外傷の治療,na,na,"['院内処方の有無(院内処方なし)', '受動喫煙を防止するための措置(施設内を全面禁煙としている)']",na,"往診（２４時間往診可能）,退院時共同指導,在宅患者訪問診療,在宅時医学総合管理（オンライン在宅管理に係らないもの。）,施設入居時等医学総合管理,在宅がん医療総合診療,在宅患者訪問看護・指導,在宅患者訪問点滴注射管理指導,訪問看護指示,在宅患者緊急時等カンファレンス,歯科訪問診療,在宅患者歯科治療時医療管理","病院との連携,診療所との連携,訪問看護ステーションとの連携,居宅介護支援事業所との連携,薬局との連携",2|-|-,na,na,4|-|-,1.1,na,na,1,"内科, 整形外科, 皮膚科, 精神科, 眼科, 耳鼻いんこう科, 歯科"
2023-09-21,石塚矯正歯科クリニック,さいたま市浦和区北浦和３－２－５ ＹＫ－１７ビル４階,埼玉県ｻｲﾀﾏ市浦和区北浦和三丁目2-5, yk-17ﾋﾞﾙ4階,2023年06月08日,http://www.iryo-kensaku.jp/saitama/kensaku/IryoSisetsuInfo.aspx?sy=m&cm=s&di=n&id=11051663&ir=03,na,石塚 泰男,石塚 泰男,成人の歯科矯正治療,na,na,na,"['院内処方の有無(院内処方あり)', '受動喫煙を防止するための措置(施設内を全面禁煙としている)']",na,na,"病院との連携,診療所との連携",1|-|-,na,na,0|-|-,15,na,na,1,矯正歯科
2023-09-21,医療法人社団大伸会　ワラビー三国歯科,蕨市塚越１－１５－１６ ３階,埼玉県蕨市塚越一丁目15-16, 3階,2023年06月08日,http://www.iryo-kensaku.jp/saitama/kensaku/IryoSisetsuInfo.aspx?sy=m&cm=s&di=n&id=11210966&ir=03,na,医療法人社団大伸会 (川名部 謙),初瀬 平和,歯科領域の一次診療,"埋伏歯抜歯,顎関節症治療,口唇、舌若しくは口腔粘膜の炎症又は外傷の治療",na,na,"['院内処方の有無(院内処方あり)', '車椅子等利用者に対する配慮(施設のバリアフリー化を実施している)', '受動喫煙を防止するための措置(施設内を全面禁煙としている)']",na,na,"病院との連携,診療所との連携",2|-|-,na,na,2|-|-,37.0,na,na,1,歯科
2023-09-21,ピアシティ大利根歯科,加須市北下新井１０４－２ ピアシティ大利根,埼玉県加須市北下新井104-2, ﾋﾟｱｼﾃｨ大利根,2023年06月06日,http://www.iryo-kensaku.jp/saitama/kensaku/IryoSisetsuInfo.aspx?sy=m&cm=s&di=n&id=11240555&ir=03,na,竹前 力,竹前 力,"歯科領域の一次診療,成人の歯科矯正治療","埋伏歯抜歯,顎関節症治療",na,na,"['院内処方の有無(院内処方あり)', '車椅子等利用者に対する配慮(施設のバリアフリー化を実施している)', '受動喫煙を防止するための措置(施設内を全面禁煙としている)']",na,na,診療所との連携,4|-|-,na,na,4|-|-,30.0,na,na,1,"歯科, 矯正歯科, 小児歯科, 歯科口腔外科"
2023-09-21,オアシス歯科,さいたま市南区大谷口２５０１ー１,埼玉県ｻｲﾀﾏ市南区大字大谷口2501-1,,2023年06月06日,http://www.iryo-kensaku.jp/saitama/kensaku/IryoSisetsuInfo.aspx?sy=m&cm=s&di=n&id=11262230&ir=03,na,遠藤 寛則,遠藤 寛則,"歯科領域の一次診療,成人の歯科矯正治療","埋伏歯抜歯,顎関節症治療,口唇、舌若しくは口腔粘膜の炎症又は外傷の治療,口腔領域の腫瘍の治療",na,na,['院内処方の有無(院内処方あり)'],na,na,"病院との連携,診療所との連携,訪問看護ステーションとの連携,居宅介護支援事業所との連携,薬局との連携",5|-|-,na,na,5|-|-,20,na,na,1,"歯科, 矯正歯科, 小児歯科, 歯科口腔外科"
2023-09-21,しぶや歯科医院,川越市鯨井新田１－１１ＪＭビル１階,埼玉県川越市大字鯨井新田1-11,jmﾋﾞﾙ1階,2023年06月04日,http://www.iryo-kensaku.jp/saitama/kensaku/IryoSisetsuInfo.aspx?sy=m&cm=s&di=n&id=11243996&ir=03,na,澁谷 辰之進,澁谷 辰之進,"歯科領域の一次診療,成人の歯科矯正治療","埋伏歯抜歯,顎関節症治療",na,na,"['院内処方の有無(院内処方あり)', '車椅子等利用者に対する配慮(施設のバリアフリー化を実施している)', '受動喫煙を防止するための措置(施設内を全面禁煙としている)']",na,"往診（２４時間往診以外）,歯科訪問診療,訪問歯科衛生指導,歯科疾患在宅療養管理","病院との連携,診療所との連携,訪問看護ステーションとの連携,居宅介護支援事業所との連携,薬局との連携",5|-|-,na,na,5|-|-,32,na,na,1,歯科
2023-09-21,たかせ歯科医院,吉川市高富２－１４－８,埼玉県吉川市高富二丁目14-8,,2023年06月02日,http://www.iryo-kensaku.jp/saitama/kensaku/IryoSisetsuInfo.aspx?sy=m&cm=s&di=n&id=11097892&ir=03,na,高瀬務,高瀬務,"歯科領域の一次診療,成人の歯科矯正治療","顎関節症治療,口唇、舌若しくは口腔粘膜の炎症又は外傷の治療",na,na,"['院内処方の有無(院内処方あり)', '車椅子等利用者に対する配慮(施設のバリアフリー化を実施している)', '受動喫煙を防止するための措置(施設内を全面禁煙としている)']",na,"往診（２４時間往診以外）,歯科訪問診療,訪問歯科衛生指導","病院との連携,診療所との連携,居宅介護支援事業所との連携",3|-|-,na,na,2|-|-,32,na,na,1,"歯科, 小児歯科, 予防歯科"
