storename,address_original,address_normalize[0],address_normalize[1],最終更新日,url,開設者種別,開設者名,管理者名,歯科一般領域一覧,歯科口腔外科領域一覧,小児歯科領域一覧,矯正歯科領域一覧,施設状況一覧,対応可能ﾅ麻酔治療一覧,在宅医療,連携ﾉ有無,歯科医師(総数|常勤|非常勤),歯科技工士(総数|常勤|非常勤),歯科助手(総数|常勤|非常勤),歯科衛生士(総数|常勤|非常勤),前年度1日平均外来患者数,緯度,経度,page
株式会社日立製作所日立総合病院,日立市城南町二丁目一番一号 ,na,na,2023年3月22日,https://www.ibaraki-medinfo.jp/details/BaseInfo/sb/1080000066,会社,株式会社日立製作所,渡辺 泰徳,"['歯科領域の一次診療', '著しく歯科診療が困難な者（障害者等）の歯科治療']","['埋伏歯抜歯', '顎関節症治療', '口唇、舌若しくは口腔粘膜の炎症、外傷又は腫瘍の治療']",na,na,"['院外処方', '視覚障害者への配慮（施設内点字ブロックの設置）', '視覚障害者への配慮（点字による表示）', '聴覚障害者への配慮（手話による対応）', '聴覚障害者への配慮（施設内の情報の表示）', '車椅子利用者への配慮（施設内のバリアフリー化の実施）', '車椅子対応トイレ', '施設内における全面禁煙の実施', '医療に関する相談窓口設置', '適時及び適温による食事の提供', '院内売店の設置', '外来者用食堂の設置']",na,na,"['病院との連携', '診療所との連携', '訪問看護ステーションとの連携', '居宅介護支援事業所との連携', '薬局との連携']",2|2|-,na,na,4|5|-,463,na,na,1
医療法人愛正会田尻ケ丘病院,日立市田尻町３丁目２４番１号,na,na,2023年3月22日,https://www.ibaraki-medinfo.jp/details/BaseInfo/sb/1080000073,医療法人,医療法人愛正会,大和田 康夫,"['歯科領域の一次診療', '著しく歯科診療が困難な者（障害者等）の歯科治療', '摂食機能障害の治療']","['顎関節症治療', '口唇、舌若しくは口腔粘膜の炎症、外傷又は腫瘍の治療']",na,na,"['院内処方', '院外処方', '視覚障害者への配慮（点字による表示）', '聴覚障害者への配慮（施設内の情報の表示）', '車椅子利用者への配慮（施設内のバリアフリー化の実施）', '車椅子対応トイレ', '施設内における全面禁煙の実施', '医療に関する相談窓口設置', '適時及び適温による食事の提供', '病床外での食事可能', '院内売店の設置']",na,"['在宅患者訪問診療', '在宅患者訪問看護・指導', '同一建物居住者訪問看護・指導', '訪問看護指示', '在宅患者訪問栄養食事指導']","['病院との連携', '診療所との連携', '訪問看護ステーションとの連携', '居宅介護支援事業所との連携', '薬局との連携']",1|1|0,na,na,1|1|0,39,na,na,1
医療型障害児入所施設 水方苑,高萩市下手綱１９５１－１５,na,na,2023年3月22日,https://www.ibaraki-medinfo.jp/details/BaseInfo/sb/1080000075,社会福祉法人,社会福祉法人愛正会,延時 達朗,"['歯科領域の一次診療', '著しく歯科診療が困難な者（障害者等）の歯科治療', '摂食機能障害の治療']","['埋伏歯抜歯', '顎関節症治療']",na,na,"['院内処方', '院外処方', '車椅子利用者への配慮（施設内のバリアフリー化の実施）', '車椅子対応トイレ', '施設内における全面禁煙の実施', '医療に関する相談窓口設置', '病床外での食事可能']",na,na,na,0.8|-|0.8,na,na,2|2|-,45.5,na,na,1
県北医療センター高萩協同病院,高萩市上手綱上ヶ穂町１００６－９,na,na,2023年2月20日,https://www.ibaraki-medinfo.jp/details/BaseInfo/sb/1080000077,厚生連,茨城県厚生農業協同組合連合会,院長 近藤 匡,"['歯科領域の一次診療', '著しく歯科診療が困難な者（障害者等）の歯科治療']","['埋伏歯抜歯', '顎関節症治療', '顎骨骨折治療', '口唇、舌若しくは口腔粘膜の炎症、外傷又は腫瘍の治療']",na,na,"['院内処方', '院外処方', '視覚障害者への配慮（点字による表示）', '聴覚障害者への配慮（施設内の情報の表示）', '車椅子利用者への配慮（施設内のバリアフリー化の実施）', '車椅子対応トイレ', '施設内における全面禁煙の実施', '医療に関する相談窓口設置', '適時及び適温による食事の提供', '病床外での食事可能', '選択可能な入院食の提供', '院内売店の設置']",na,"['在宅患者訪問診療', '救急搬送診療', '在宅患者訪問看護・指導', '同一建物居住者訪問看護・指導', '訪問看護指示']","['病院との連携', '診療所との連携', '訪問看護ステーションとの連携', '居宅介護支援事業所との連携', '薬局との連携']",1.1|1|0.1,na,na,2|2|-,101.3,na,na,1
北茨城市民病院,北茨城市関南町関本下1050,na,na,2023年3月22日,https://www.ibaraki-medinfo.jp/details/BaseInfo/sb/1080000078,市町村,北茨城市長 豊田 稔,田渕 崇文,"['歯科領域の一次診療', '成人の歯科矯正治療', '唇顎口蓋裂の歯科矯正治療', '顎変形症の歯科矯正治療', '著しく歯科診療が困難な者（障害者等）の歯科治療', '摂食機能障害の治療']","['埋伏歯抜歯', '顎関節症治療', '顎変形症治療', '顎骨骨折治療']",na,na,"['院内処方', '院外処方', '視覚障害者への配慮（施設内点字ブロックの設置）', '聴覚障害者への配慮（施設内の情報の表示）', '車椅子利用者への配慮（施設内のバリアフリー化の実施）', '車椅子対応トイレ', '施設内における全面禁煙の実施', '医療に関する相談窓口設置', '適時及び適温による食事の提供', '院内売店の設置', '外来者用食堂の設置']",na,"['往診（終日往診可能以外）', '救急搬送診療', '在宅患者訪問看護・指導', '同一建物居住者訪問看護・指導', '在宅患者訪問点滴注射管理指導']","['病院との連携', '診療所との連携', '訪問看護ステーションとの連携', '居宅介護支援事業所との連携', '薬局との連携']",2.5|2|0.5,na,na,3.8|3|0.8,75.5,na,na,1
公益財団法人鹿島病院,鹿嶋市平井１１２９番地２,na,na,2023年2月20日,https://www.ibaraki-medinfo.jp/details/BaseInfo/sb/1080000089,公益法人,公益財団法人鹿島病院 理事長 神尾 政彦,院長 高濱 浩輔,"['歯科領域の一次診療', '著しく歯科診療が困難な者（障害者等）の歯科治療']","['埋伏歯抜歯', '顎関節症治療', '口唇、舌若しくは口腔粘膜の炎症、外傷又は腫瘍の治療', '口腔領域の腫瘍の治療']",na,na,"['院外処方', '車椅子対応トイレ', '施設内における全面禁煙の実施', '医療に関する相談窓口設置', '適時及び適温による食事の提供', '病床外での食事可能', '院内売店の設置', '外来者用食堂の設置']",na,"['在宅患者訪問診療', '在宅患者訪問看護・指導', '訪問看護指示']","['病院との連携', '診療所との連携', '訪問看護ステーションとの連携', '居宅介護支援事業所との連携', '薬局との連携']",1|1|-,na,na,2|2|0,75.78,na,na,1
社会福祉法人 白十字会 白十字総合病院,神栖市賀２１４８,na,na,2023年7月25日,https://www.ibaraki-medinfo.jp/details/BaseInfo/sb/1080000092,社会福祉法人,社会福祉法人 白十字会 理事長 川村晴也,院長 鈴木善作,['歯科領域の一次診療'],na,na,na,"['院外処方', '視覚障害者への配慮（施設内点字ブロックの設置）', '車椅子対応トイレ', '施設内における全面禁煙の実施', '医療に関する相談窓口設置', '適時及び適温による食事の提供', '病床外での食事可能', '選択可能な入院食の提供', '院内売店の設置', '外来者用食堂の設置']",na,"['退院時共同指導', '救急搬送診療', '在宅患者訪問看護・指導', '在宅患者訪問点滴注射管理指導', '訪問看護指示']","['病院との連携', '診療所との連携', '訪問看護ステーションとの連携', '居宅介護支援事業所との連携', '薬局との連携']",0.6|0|0.6,na,na,na,149.3,na,na,1
医療法人社団善仁会 小山記念病院,鹿嶋市厨五丁目１番地２,na,na,2023年3月22日,https://www.ibaraki-medinfo.jp/details/BaseInfo/sb/1080000097,医療法人,医療法人社団善仁会,院長 池田 和穂,na,"['埋伏歯抜歯', '顎関節症治療', '口唇、舌若しくは口腔粘膜の炎症、外傷又は腫瘍の治療']",na,na,"['院外処方', '視覚障害者への配慮（音声による情報の伝達）', '視覚障害者への配慮（施設内点字ブロックの設置）', '聴覚障害者への配慮（施設内の情報の表示）', '車椅子利用者への配慮（施設内のバリアフリー化の実施）', '車椅子対応トイレ', '施設内における全面禁煙の実施', '医療に関する相談窓口設置', '適時及び適温による食事の提供', '病床外での食事可能', '選択可能な入院食の提供', '院内売店の設置']",na,"['退院時共同指導', '在宅患者訪問診療', '救急搬送診療', '在宅患者訪問点滴注射管理指導', '訪問看護指示', '在宅患者連携指導']","['病院との連携', '診療所との連携', '訪問看護ステーションとの連携', '居宅介護支援事業所との連携', '薬局との連携']",1|1|-,na,na,1|1|-,146.2,na,na,1
茨城県厚生農業協同組合連合会ＪＡとりで総合医療センター,取手市本郷２丁目１番１号,na,na,2020年12月24日,https://www.ibaraki-medinfo.jp/details/BaseInfo/sb/1080000101,厚生連,茨城県厚生農業協同組合連合会,冨滿 弘之,"['歯科領域の一次診療', '摂食機能障害の治療']","['埋伏歯抜歯', '顎関節症治療', '顎骨骨折治療', '口唇、舌若しくは口腔粘膜の炎症、外傷又は腫瘍の治療']",na,na,"['院内処方', '院外処方', '車椅子利用者への配慮（施設内のバリアフリー化の実施）', '車椅子対応トイレ', '施設内における全面禁煙の実施', '医療に関する相談窓口設置', '適時及び適温による食事の提供', '病床外での食事可能', '選択可能な入院食の提供', '院内売店の設置', '外来者用食堂の設置']",na,"['往診（終日往診可能以外）', '退院時共同指導', '在宅患者訪問診療', '在宅患者訪問看護・指導', '在宅患者訪問点滴注射管理指導', '在宅患者訪問リハビリテーション指導管理', '訪問看護指示', '在宅患者訪問薬剤管理指導', '在宅患者訪問栄養食事指導', '歯科訪問診療']","['病院との連携', '診療所との連携', '訪問看護ステーションとの連携', '居宅介護支援事業所との連携', '薬局との連携']",2|2|0,na,na,3|3|0,347.3,na,na,1
医療法人社団常仁会牛久愛和総合病院,牛久市猪子町８９６番地,na,na,2023年4月12日,https://www.ibaraki-medinfo.jp/details/BaseInfo/sb/1080000105,医療法人,医療法人社団常仁会,瀬下 明良,"['歯科領域の一次診療', '著しく歯科診療が困難な者（障害者等）の歯科治療', '摂食機能障害の治療']","['埋伏歯抜歯', '顎関節症治療', '顎変形症治療', '顎骨骨折治療', '口唇、舌若しくは口腔粘膜の炎症、外傷又は腫瘍の治療']",na,na,"['院内処方', '院外処方', '視覚障害者への配慮（音声による情報の伝達）', '視覚障害者への配慮（施設内点字ブロックの設置）', '視覚障害者への配慮（点字による表示）', '聴覚障害者への配慮（手話による対応）', '聴覚障害者への配慮（施設内の情報の表示）', '車椅子利用者への配慮（施設内のバリアフリー化の実施）', '車椅子対応トイレ', '施設内における全面禁煙の実施', '医療に関する相談窓口設置', '適時及び適温による食事の提供', '病床外での食事可能', '選択可能な入院食の提供', '院内売店の設置', '外来者用食堂の設置']",na,"['退院時共同指導', '在宅患者訪問リハビリテーション指導管理', '訪問看護指示']","['病院との連携', '診療所との連携', '訪問看護ステーションとの連携', '居宅介護支援事業所との連携']",3.3|3|0.3,na,na,4|4|0,199.9,na,na,1
みやざきホスピタル,稲敷市上根本３４７４,na,na,2022年10月24日,https://www.ibaraki-medinfo.jp/details/BaseInfo/sb/1080000106,医療法人,医療法人精光会,星野惠則,"['歯科領域の一次診療', '著しく歯科診療が困難な者（障害者等）の歯科治療']","['埋伏歯抜歯', '顎関節症治療', '口唇、舌若しくは口腔粘膜の炎症、外傷又は腫瘍の治療']",na,na,"['院外処方', '視覚障害者への配慮（音声による情報の伝達）', '視覚障害者への配慮（施設内点字ブロックの設置）', '視覚障害者への配慮（点字による表示）', '車椅子利用者への配慮（施設内のバリアフリー化の実施）', '車椅子対応トイレ', '施設内における全面禁煙の実施', '医療に関する相談窓口設置', '適時及び適温による食事の提供', '病床外での食事可能', '院内売店の設置']",na,"['往診（終日往診可能以外）', '在宅患者訪問看護・指導']","['訪問看護ステーションとの連携', '居宅介護支援事業所との連携']",na,na,na,na,na,na,na,2
つくばセントラル病院,牛久市柏田町１５８９－３,na,na,2023年4月12日,https://www.ibaraki-medinfo.jp/details/BaseInfo/sb/1080000112,医療法人,社会医療法人若竹会,竹島徹,"['歯科領域の一次診療', '著しく歯科診療が困難な者（障害者等）の歯科治療', '摂食機能障害の治療']","['埋伏歯抜歯', '顎関節症治療', '顎変形症治療', '顎骨骨折治療', '口唇、舌若しくは口腔粘膜の炎症、外傷又は腫瘍の治療', '口腔領域の腫瘍の治療', '唇顎口蓋裂治療']",na,na,"['院外処方', '視覚障害者への配慮（施設内点字ブロックの設置）', '聴覚障害者への配慮（施設内の情報の表示）', '車椅子利用者への配慮（施設内のバリアフリー化の実施）', '車椅子対応トイレ', '施設内における全面禁煙の実施', '医療に関する相談窓口設置', '適時及び適温による食事の提供', '病床外での食事可能', '選択可能な入院食の提供']",na,na,na,5|5|0,na,na,8|8|0,261,na,na,2
独立行政法人国立病院機構霞ケ浦医療センター,土浦市下高津２－７－１４,na,na,2020年1月22日,https://www.ibaraki-medinfo.jp/details/BaseInfo/sb/1080000118,独立行政法人,独立行政法人国立病院機構理事長 楠岡英雄,鈴木祥司,['歯科領域の一次診療'],"['埋伏歯抜歯', '顎関節症治療', '顎変形症治療', '顎骨骨折治療', '口唇、舌若しくは口腔粘膜の炎症、外傷又は腫瘍の治療', '口腔領域の腫瘍の治療']",na,na,"['院内処方', '院外処方', '車椅子利用者への配慮（施設内のバリアフリー化の実施）', '車椅子対応トイレ', '施設内における全面禁煙の実施', '医療に関する相談窓口設置', '適時及び適温による食事の提供', '病床外での食事可能', '選択可能な入院食の提供', '院内売店の設置']",na,"['在宅患者訪問診療', '救急搬送診療', '訪問看護指示']","['診療所との連携', '訪問看護ステーションとの連携', '居宅介護支援事業所との連携']",2.8|2|0.8,na,na,1|1|-,194.8,na,na,2
総合病院土浦協同病院,土浦市おおつ野四丁目１番１号,na,na,2023年3月25日,https://www.ibaraki-medinfo.jp/details/BaseInfo/sb/1080000119,厚生連,茨城県厚生農業協同組合連合会 代表理事理事長 酒井義法,河内 敏行,na,"['埋伏歯抜歯', '顎関節症治療', '顎変形症治療', '顎骨骨折治療', '口唇、舌若しくは口腔粘膜の炎症、外傷又は腫瘍の治療', '唇顎口蓋裂治療']",na,na,"['院外処方', '車椅子利用者への配慮（施設内のバリアフリー化の実施）', '車椅子対応トイレ', '施設内における全面禁煙の実施', '医療に関する相談窓口設置', '適時及び適温による食事の提供', '病床外での食事可能', '選択可能な入院食の提供', '院内売店の設置', '外来者用食堂の設置']",na,"['在宅患者訪問診療', '救急搬送診療', '在宅患者訪問看護・指導', '在宅患者訪問点滴注射管理指導', '在宅患者訪問リハビリテーション指導管理', '訪問看護指示']","['病院との連携', '診療所との連携', '訪問看護ステーションとの連携', '居宅介護支援事業所との連携', '薬局との連携']",2|2|0,na,na,1|1|0,623.3,na,na,2
医療法人美湖会美浦中央病院,稲敷郡美浦村宮地５９６,na,na,2023年3月25日,https://www.ibaraki-medinfo.jp/details/BaseInfo/sb/1080000124,医療法人,医療法人美湖会,理事長岩瀬剛,"['歯科領域の一次診療', '著しく歯科診療が困難な者（障害者等）の歯科治療']","['埋伏歯抜歯', '顎関節症治療', '口唇、舌若しくは口腔粘膜の炎症、外傷又は腫瘍の治療']",na,na,"['院外処方', '車椅子利用者への配慮（施設内のバリアフリー化の実施）', '車椅子対応トイレ', '施設内における全面禁煙の実施', '医療に関する相談窓口設置', '適時及び適温による食事の提供', '病床外での食事可能', '院内売店の設置']",na,"['在宅患者訪問診療', '救急搬送診療', '在宅患者訪問点滴注射管理指導', '訪問看護指示', '介護職員等喀痰吸引等指示']","['病院との連携', '診療所との連携', '訪問看護ステーションとの連携', '居宅介護支援事業所との連携', '薬局との連携']",1|1|-,na,na,1|1|-,57.2,na,na,2
東京医科大学茨城医療センター,稲敷郡阿見町中央３－２０－１,na,na,2023年3月25日,https://www.ibaraki-medinfo.jp/details/BaseInfo/sb/1080000125,私立学校法人,学校法人 東京医科大学,福井 次矢,"['歯科領域の一次診療', '顎変形症の歯科矯正治療', '著しく歯科診療が困難な者（障害者等）の歯科治療', '摂食機能障害の治療']","['埋伏歯抜歯', '顎関節症治療', '顎変形症治療', '顎骨骨折治療', '口唇、舌若しくは口腔粘膜の炎症、外傷又は腫瘍の治療', '唇顎口蓋裂治療']",na,na,"['院外処方', '聴覚障害者への配慮（施設内の情報の表示）', '車椅子利用者への配慮（施設内のバリアフリー化の実施）', '車椅子対応トイレ', '施設内における全面禁煙の実施', '医療に関する相談窓口設置', '適時及び適温による食事の提供', '病床外での食事可能', '選択可能な入院食の提供', '院内売店の設置', '外来者用食堂の設置']",na,"['退院時共同指導', '在宅患者訪問診療', '救急搬送診療', '在宅患者訪問看護・指導', '在宅患者訪問点滴注射管理指導', '在宅患者訪問リハビリテーション指導管理', '訪問看護指示']","['病院との連携', '診療所との連携', '訪問看護ステーションとの連携', '居宅介護支援事業所との連携', '薬局との連携']",4.2|4|0.2,na,na,3|3|0,322.6,na,na,2
茨城県立医療大学付属病院,稲敷郡阿見町阿見４７３３,na,na,2023年3月13日,https://www.ibaraki-medinfo.jp/details/BaseInfo/sb/1080000129,県,茨城県知事 大井川和彦,中島 光太郎,"['歯科領域の一次診療', '著しく歯科診療が困難な者（障害者等）の歯科治療']",na,na,na,"['院内処方', '院外処方', '視覚障害者への配慮（点字による表示）', '車椅子利用者への配慮（施設内のバリアフリー化の実施）', '車椅子対応トイレ', '施設内における全面禁煙の実施', '医療に関する相談窓口設置', '適時及び適温による食事の提供', '病床外での食事可能', '選択可能な入院食の提供', '院内売店の設置']",na,"['在宅患者訪問リハビリテーション指導管理', '訪問看護指示']","['病院との連携', '診療所との連携', '訪問看護ステーションとの連携', '居宅介護支援事業所との連携', '薬局との連携']",0.1|-|0.1,na,na,na,90.9,na,na,2
山王台病院,石岡市東石岡４－１－３８,na,na,2022年3月14日,https://www.ibaraki-medinfo.jp/details/BaseInfo/sb/1080000131,医療法人,医療法人幕内会,幕内幹男,"['歯科領域の一次診療', '摂食機能障害の治療']","['埋伏歯抜歯', '顎関節症治療', '顎骨骨折治療', '口唇、舌若しくは口腔粘膜の炎症、外傷又は腫瘍の治療']",na,na,"['院内処方', '院外処方', '視覚障害者への配慮（施設内点字ブロックの設置）', '視覚障害者への配慮（点字による表示）', '車椅子利用者への配慮（施設内のバリアフリー化の実施）', '車椅子対応トイレ', '施設内における全面禁煙の実施', '医療に関する相談窓口設置', '適時及び適温による食事の提供', '病床外での食事可能']",na,"['在宅患者訪問看護・指導', '訪問看護指示']","['病院との連携', '診療所との連携', '訪問看護ステーションとの連携', '居宅介護支援事業所との連携']",2.6|2|0.6,na,na,4|4|0,50.4,na,na,2
豊後荘病院,石岡市部原７６０－１,na,na,2023年6月14日,https://www.ibaraki-medinfo.jp/details/BaseInfo/sb/1080000136,医療法人,医療法人新生会,森博昭,"['歯科領域の一次診療', '著しく歯科診療が困難な者（障害者等）の歯科治療', '摂食機能障害の治療']",na,na,na,"['院内処方', '院外処方', '車椅子利用者への配慮（施設内のバリアフリー化の実施）', '車椅子対応トイレ', '施設内における全面禁煙の実施', '医療に関する相談窓口設置', '適時及び適温による食事の提供', '院内売店の設置']",na,na,"['病院との連携', '診療所との連携', '訪問看護ステーションとの連携', '居宅介護支援事業所との連携', '薬局との連携']",2|2|-,na,na,3.4|3|0.4,na,na,na,2
