timestamp,storename,address_original,address_normalize[0],address_normalize[1],最終更新日,url,開設者種別,開設者名,管理者名,歯科一般領域一覧,歯科口腔外科領域一覧,小児歯科領域一覧,矯正歯科領域一覧,施設状況一覧,対応可能ﾅ麻酔治療一覧,在宅医療,連携ﾉ有無,歯科医師(総数|常勤|非常勤),歯科技工士(総数|常勤|非常勤),歯科助手(総数|常勤|非常勤),歯科衛生士(総数|常勤|非常勤),前年度1日平均外来患者数,緯度,経度,page,診療科
2023-09-03,おおさか歯科医院,金沢市額新保2丁目231,石川県金沢市額新保二丁目231,,na,http://i-search.pref.ishikawa.jp/detail.php?rd_no=5130200,個人,大坂 圭樹,大坂 圭樹,"[歯科領域の一次診療, 無]",na,na,na,na,na,na,na,2|-|-,na|-|-,na|-|-,2|-|-,33,36.519479,136.616111,2,"[歯科, 小児歯科, 矯正歯科, 口腔外科, ]"
2023-09-03,おおせと歯科クリニック,鳳珠郡穴水町字川島ヨ６５番１,石川県鳳珠郡穴水町字川島ﾖ65-1,,na,http://i-search.pref.ishikawa.jp/detail.php?rd_no=377,個人,大脊戸 利裕,大脊戸 利裕,"[歯科領域の一次診療, 無]",na,na,na,"[スロープ, ]",na,na,"[病院との連携, ]",1|-|-,na|-|-,na|-|-,na|-|-,18,37.2338001,136.9068667,2,"[歯科, ]"
2023-09-03,おおのり歯科医院,金沢市押野1丁目505番地,石川県金沢市押野一丁目505,,na,http://i-search.pref.ishikawa.jp/detail.php?rd_no=5130181,医療法人,千手会（おおのり歯科医院）,大乗 衛,"[歯科領域の一次診療, 無]",na,na,na,"[スロープ, ]",na,na,na,3|-|-,2|-|-,na|-|-,6|-|-,45,36.544153,136.619062,2,"[歯科, 小児歯科, 矯正歯科, 口腔外科, ]"
2023-09-03,おおの歯科医院,白山市福留町179-3,石川県白山市福留町179-3,,na,http://i-search.pref.ishikawa.jp/detail.php?rd_no=2130004,個人,大野 弘毅,大野 弘毅,"[歯科領域の一次診療, 無]",na,na,na,na,na,"[歯科訪問診療, ]",na,1|-|-,na|-|-,na|-|-,3|-|-,20,36.490956,136.52644,2,"[歯科, ]"
2023-09-03,おおひら歯科医院,金沢市木越1丁目152番地,石川県金沢市木越一丁目152,,na,http://i-search.pref.ishikawa.jp/detail.php?rd_no=5130027,個人,大平 三四郎,大平 三四郎,"[歯科領域の一次診療, 無]",na,na,na,"[スロープ, ]","[硬膜外ブロックにおける麻酔剤の持続注入, ]","[在宅患者訪問薬剤管理指導, 歯科訪問診療, 訪問歯科衛生指導, ]","[病院との連携, 診療所との連携, 訪問看護ステーションとの連携, 居宅介護支援事業所との連携, 薬局との連携, ]",1|-|-,1|-|-,na|-|-,2|-|-,20,36.619183,136.667824,2,"[歯科, 小児歯科, 口腔外科, ]"
2023-09-03,おかべ歯科医院,金沢市西金沢新町182番地,石川県金沢市西金沢新町182,,na,http://i-search.pref.ishikawa.jp/detail.php?rd_no=5130180,個人,岡部 孝一,岡部 孝一,"[歯科領域の一次診療, 予約診療有：初診・再診]",予約診療有：初診・再診,na,na,na,na,na,"[病院との連携, 診療所との連携, ]",1|-|-,na|-|-,na|-|-,3|-|-,na,36.553814,136.616798,2,"[歯科, 歯科口腔外科, ]"
2023-09-03,かきはら歯科,金沢市三ツ屋町ロ23番地3,石川県金沢市三ﾂ屋町ﾛ23-3,,na,http://i-search.pref.ishikawa.jp/detail.php?rd_no=5130028,個人,柿原 謙一郎,柿原 謙一郎,"[歯科領域の一次診療, 無]",無,na,na,na,na,"[歯科訪問診療, ]","[居宅介護支援事業所との連携, ]",2|-|-,na|-|-,na|-|-,1|-|-,18,36.61086,136.64373,2,"[歯科, 小児歯科, 歯科口腔外科, ]"
2023-09-03,かくだ歯科・矯正歯科,かほく市内日角ニ22－3,石川県ｶﾎｸ市内日角ﾆ22-3,,na,http://i-search.pref.ishikawa.jp/detail.php?rd_no=311,医療法人,かくだ歯科・矯正歯科,角田 真,"[歯科領域の一次診療, 無]","[埋伏歯抜歯, na]",na,na,na,na,"[歯科訪問診療, ]","[病院との連携, ]",na|-|-,na|-|-,na|-|-,1|-|-,15,36.7135602,136.7000472,3,"[歯科, ]"
2023-09-03,かしわい歯科,金沢市西金沢4丁目542番地,石川県金沢市西金沢四丁目542,,na,http://i-search.pref.ishikawa.jp/detail.php?rd_no=5130178,個人,柏井 悦子,柏井 悦子,"[歯科領域の一次診療, 無]",na,na,na,na,na,"[訪問歯科衛生指導, ]",na,1|-|-,na|-|-,na|-|-,1|-|-,8,36.555195,136.611117,3,"[歯科, ]"
2023-09-03,かとうクリニック,加賀市山代温泉北部2-25,石川県加賀市山代温泉北部2-25,,na,http://i-search.pref.ishikawa.jp/detail.php?rd_no=1231025,医療法人,医療法人かとうクリニック,加藤 隆三,"[歯科領域の一次診療, 無]",無,na,na,na,na,na,na,3|-|-,1|-|-,na|-|-,3|-|-,40,36.297606,136.359035,3,"[歯科, 歯科口腔外科, 小児歯科, ]"
2023-09-03,かなざわ矯正歯科クリニック,金沢市香林坊1-2-38,石川県金沢市香林坊一丁目2-38,,na,http://i-search.pref.ishikawa.jp/detail.php?rd_no=5130110,個人,不島 千智,不島 千智,"[歯科領域の一次診療, 予約診療有：初診・再診]",na,na,予約診療有：初診・再診,na,na,na,na,3|-|-,1|-|-,na|-|-,2|-|-,12,36.564041,136.654357,3,"[歯科, 矯正歯科, ]"
2023-09-03,かぶと歯科医院,七尾市御祓町子部6-2,石川県七尾市御祓町子部6-2,,na,http://i-search.pref.ishikawa.jp/detail.php?rd_no=3130007,個人,甲 春夫,甲 春夫,"[歯科領域の一次診療, 無]",無,na,na,"[スロープ, 車椅子利用者用駐車場, ]",na,"[歯科訪問診療, 訪問歯科衛生指導, ]","[病院との連携, 診療所との連携, ]",1|-|-,na|-|-,na|-|-,3|-|-,30,37.044369,136.963103,3,"[歯科, 小児歯科, 矯正歯科, 歯科口腔外科, ]"
2023-09-03,かほくデンタルクリニック,かほく市内日角タ25番 イオンモールかほく1F,石川県ｶﾎｸ市内日角ﾀ25, ｲｵﾝﾓｰﾙｶﾎｸ1f,na,http://i-search.pref.ishikawa.jp/detail.php?rd_no=414,個人,髙附 賢史,髙附 賢史,"[歯科領域の一次診療, 障害者の歯科治療, 摂食機能障害の治療, na]","[顎関節症治療, na]",予約診療有：初診・再診,na,"[車椅子利用者用駐車場, ]",na,na,na,1|-|-,0|-|-,na|-|-,4|-|-,na,36.70901719309894,136.7012119,3,"[一般歯科, 小児歯科, ]"
2023-09-03,かまた歯科医院,金沢市広坂1丁目1番56号 藤岡ビル2Ｆ,石川県金沢市広坂一丁目1-56, 藤岡ﾋﾞﾙ2f,na,http://i-search.pref.ishikawa.jp/detail.php?rd_no=5130111,個人,蒲田 志朗,蒲田 志朗,"[歯科領域の一次診療, 無]",na,na,na,na,na,na,na,1|-|-,na|-|-,na|-|-,1|-|-,18,36.561794,136.656044,3,"[歯科, ]"
2023-09-03,かりたに歯科医院,金沢市玉鉾4-26-2,石川県金沢市玉鉾四丁目26-2,,na,http://i-search.pref.ishikawa.jp/detail.php?rd_no=5130144,個人,狩谷 元就,狩谷 元就,"[歯科領域の一次診療, 無]",na,na,na,na,na,na,na,1|-|-,na|-|-,na|-|-,1|-|-,15,36.571643,136.616591,3,"[歯科, ]"
2023-09-03,かわはら歯科医院,野々市市藤平田1丁目466番地,石川県野々市市藤平田一丁目466,,na,http://i-search.pref.ishikawa.jp/detail.php?rd_no=2130043,個人,川原 慎玄,川原 慎玄,"[歯科領域の一次診療, 予約診療有：初診・再診]",na,予約診療有：初診・再診,na,"[スロープ, ]",na,"[歯科訪問診療, 訪問歯科衛生指導, ]",na,1|-|-,na|-|-,na|-|-,5|-|-,45 ,36.5170409,136.607588,3,"[歯科, 小児歯科, ]"
2023-09-03,きしもと歯科医院,小松市島町ル76-5,石川県小松市島町ﾙ76-5,,na,http://i-search.pref.ishikawa.jp/detail.php?rd_no=1132010,個人,岸本 圭太郎,岸本 圭太郎,"[歯科領域の一次診療, 無]",na,na,na,na,na,na,na,1|-|-,1|-|-,na|-|-,2|-|-,35,36.352244,136.428805,3,"[歯科, 小児歯科, 矯正歯科, ]"
2023-09-03,きのした歯科医院,金沢市桂町イ17番地1,石川県金沢市桂町ｲ17-1,,na,http://i-search.pref.ishikawa.jp/detail.php?rd_no=5130033,個人,木下 幸二,木下 幸二,"[歯科領域の一次診療, 予約診療有：初診・再診]","[埋伏歯抜歯, 顎関節症治療, 口唇・舌もしくは口腔粘膜の炎症、外傷又は腫瘍の治療, na]",予約診療有：初診・再診,予約診療有：初診・再診,"[スロープ, 車椅子利用者用駐車場, ]","[神経ブロック, ]",na,na,1|-|-,na|-|-,na|-|-,na|-|-,15,36.604442,136.607298,4,"[歯科, 小児歯科, 矯正歯科, 口腔外科, ]"
2023-09-03,ぎゃくし歯科医院,野々市市新庄6丁目408,石川県野々市市新庄六丁目408,,na,http://i-search.pref.ishikawa.jp/detail.php?rd_no=2130028,個人,瘧師 信洋,瘧師 信洋,"[歯科領域の一次診療, 無]",na,na,na,"[スロープ, ]",na,na,na,1|-|-,na|-|-,na|-|-,3|-|-,45,36.5082,136.608054,4,"[歯科, 小児歯科, 矯正歯科, ]"
2023-09-03,くに歯科クリニック,金沢市田上町11街区12番地,石川県金沢市田上町11-12,,na,http://i-search.pref.ishikawa.jp/detail.php?rd_no=5130226,個人,清水 国彦,清水 国彦,"[歯科領域の一次診療, 無]",無,na,na,"[スロープ, ]",na,na,"[診療所との連携, ]",1|-|-,na|-|-,na|-|-,3|-|-,25,36.547733362258874,136.69186234260564,4,"[歯科, 小児歯科, 歯科口腔外科, ]"
2023-09-03,くぼた矯正歯科医院,金沢市窪7丁目366番地,石川県金沢市窪七丁目366,,na,http://i-search.pref.ishikawa.jp/detail.php?rd_no=5130121,医療法人,くぼた矯正歯科医院,院長 窪田 正宏,"[歯科領域の一次診療, na]",na,na,na,na,na,na,na,1|-|-,na|-|-,na|-|-,3|-|-,20.0,36.53128185898166,136.6387531853195,4,"[矯正歯科, ]"
2023-09-03,くぼた歯科医院,能美郡川北町字田子島コ125-1,石川県能美郡川北町字田子島ｺ125-1,,na,http://i-search.pref.ishikawa.jp/detail.php?rd_no=1134062,個人,窪田 善之,窪田 善之,"[歯科領域の一次診療, 無]",無,na,na,"[スロープ, ]",na,na,na,1|-|-,na|-|-,na|-|-,3|-|-,30,36.476843,136.51669,4,"[歯科, 小児歯科, 歯科口腔外科, ]"
2023-09-03,くら歯科クリニック,金沢市長土塀1丁目15番10号,石川県金沢市長土塀一丁目15-10,,na,http://i-search.pref.ishikawa.jp/detail.php?rd_no=5130081,個人,倉 広之,倉 広之,"[歯科領域の一次診療, 無]",na,na,na,na,na,na,na,2|-|-,na|-|-,na|-|-,na|-|-,na,36.567441,136.645165,4,"[歯科, ]"
2023-09-03,くろだ歯科医院,小松市串町東122,石川県小松市串町東122,,na,http://i-search.pref.ishikawa.jp/detail.php?rd_no=1132012,個人,黒田 明宏,黒田 明宏,"[歯科領域の一次診療, 無]",na,na,na,na,na,"[歯科訪問診療, 訪問歯科衛生指導, ]","[病院との連携, 診療所との連携, ]",1|-|-,na|-|-,na|-|-,2|-|-,30,36.367648,136.423933,4,"[歯科, ]"
2023-09-03,こばやし歯科,野々市市堀内町5-195,石川県野々市市堀内町5-195,,na,http://i-search.pref.ishikawa.jp/detail.php?rd_no=2130029,個人,小林 雅人,小林 雅人,"[歯科領域の一次診療, 無]",na,na,na,"[スロープ, ]",na,"[歯科訪問診療, ]","[病院との連携, 診療所との連携, 訪問看護ステーションとの連携, 居宅介護支援事業所との連携, ]",1|-|-,1|-|-,na|-|-,1|-|-,12,36.532226,136.597851,4,"[歯科, ]"
2023-09-03,こばやし歯科医院,羽咋郡志賀町富来領家町イ49-1,石川県羽咋郡志賀町富来領家町ｲ49-1,,na,http://i-search.pref.ishikawa.jp/detail.php?rd_no=415,個人,小林 晋,小林 晋,"[唇顎口蓋裂の歯科矯正治療, 顎変形症の歯科矯正治療, 摂食機能障害の治療, 予約診療有：初診・再診]","[顎変形症治療, 口唇・舌もしくは口腔粘膜の炎症、外傷又は腫瘍の治療, 予約診療有：初診・再診]",予約診療有：初診・再診,na,"[スロープ, 身体障害者用トイレ, 車椅子利用者用駐車場, ]",na,"[歯科訪問診療, 訪問歯科衛生指導, ]","[病院との連携, 診療所との連携, 訪問看護ステーションとの連携, 居宅介護支援事業所との連携, ]",1|-|-,na|-|-,na|-|-,1|-|-,15,37.1411714,136.7262186,4,"[歯科, 歯科口腔外科, 小児歯科, ]"
2023-09-03,さいとう歯科クリニック,金沢市久安3丁目398番地,石川県金沢市久安三丁目398,,na,http://i-search.pref.ishikawa.jp/detail.php?rd_no=5130211,個人,齊藤 功一,齊藤 功一,"[歯科領域の一次診療, 無]",na,na,na,"[スロープ, ]",na,na,na,2|-|-,1|-|-,na|-|-,3|-|-,33,36.53537,136.631523,4,"[歯科, 小児歯科, ]"
2023-09-03,さき川歯科医院,七尾市田鶴浜町り部２４番地,石川県七尾市田鶴浜町ﾘ部24,,na,http://i-search.pref.ishikawa.jp/detail.php?rd_no=3130011,個人,先川 孝一,先川 孝一,"[歯科領域の一次診療, 無]",na,na,na,"[スロープ, ]",na,na,"[病院との連携, ]",1|-|-,1|-|-,na|-|-,1|-|-,40,37.064903,136.888179,5,"[歯科, 小児歯科, 矯正歯科, ]"
2023-09-03,さとう歯科医院,金沢市上荒屋6-522,石川県金沢市上荒屋六丁目522,,na,http://i-search.pref.ishikawa.jp/detail.php?rd_no=5130185,個人,佐藤 修,佐藤 修,"[歯科領域の一次診療, 予約診療有：初診・再診]",na,na,na,"[スロープ, ]",na,"[歯科訪問診療, 訪問歯科衛生指導, ]","[病院との連携, 診療所との連携, 訪問看護ステーションとの連携, 居宅介護支援事業所との連携, ]",2|-|-,na|-|-,na|-|-,5|-|-,35,36.553719,136.587667,5,"[歯科, ]"
2023-09-03,さわのデンタルクリニック,かほく市七窪ハ1-5,石川県ｶﾎｸ市七窪ﾊ1-5,,na,http://i-search.pref.ishikawa.jp/detail.php?rd_no=480,個人,澤野 一久,澤野 一久,"[歯科領域の一次診療, 予約診療有：初診・再診]",na,na,na,na,na,"[歯科訪問診療, 訪問歯科衛生指導, ]","[病院との連携, 診療所との連携, 訪問看護ステーションとの連携, ]",na|-|-,na|-|-,na|-|-,3|-|-,30 ,36.72416333667284,136.70810848474503,5,"[歯科, ]"
2023-09-03,しいあい歯科医院,白山市笠間町958-1,石川県白山市笠間町958-1,,na,http://i-search.pref.ishikawa.jp/detail.php?rd_no=2130009,個人,大西 泰広,大西 泰広,"[歯科領域の一次診療, 無]",na,na,na,"[スロープ, ]",na,"[歯科訪問診療, ]","[病院との連携, ]",2|-|-,1|-|-,na|-|-,3|-|-,30,36.504407,136.52877,5,"[歯科, 小児歯科, ]"
2023-09-03,しま矯正歯科,金沢市鞍月5-128,石川県金沢市鞍月五丁目128,,na,http://i-search.pref.ishikawa.jp/detail.php?rd_no=5130141,医療法人,しま矯正歯科,嶋 浩人,"[歯科領域の一次診療, na]",na,na,na,na,na,na,na,1|-|-,na|-|-,na|-|-,2|-|-,na,36.598768253119324,136.62487529999998,5,"[矯正歯科, ]"
2023-09-03,しみず歯科医院,七尾市古府町タ部8-1,石川県七尾市古府町ﾀ部8-1,,na,http://i-search.pref.ishikawa.jp/detail.php?rd_no=3130012,個人,清水 良一,清水 良一,"[歯科領域の一次診療, 無]",na,na,na,na,na,na,"[病院との連携, 診療所との連携, ]",1|-|-,na|-|-,na|-|-,na|-|-,10,37.032158,136.967883,5,"[歯科, 矯正歯科, 小児歯科, ]"
2023-09-03,しもむら歯科医院,金沢市北町丁３５番地 林ビル２Ｆ,石川県金沢市北町丁35, 林ﾋﾞﾙ2f,na,http://i-search.pref.ishikawa.jp/detail.php?rd_no=5130022,個人,下村 隆史,下村 隆史,"[歯科領域の一次診療, 無]",na,na,na,na,na,na,na,2|-|-,1|-|-,na|-|-,2|-|-,35,36.582521,136.629863,5,"[歯科, 矯正歯科, 小児歯科, ]"
2023-09-03,しょうじ歯科医院,金沢市八田町東905,石川県金沢市八田町東905,,na,http://i-search.pref.ishikawa.jp/detail.php?rd_no=5130132,個人,勝二 榮一,勝二 榮一,"[歯科領域の一次診療, 無]",na,na,na,"[スロープ, 車椅子利用者用駐車場, ]",na,"[歯科訪問診療, ]",na,1|-|-,na|-|-,na|-|-,2|-|-,20,36.6290887,136.6863114,5,"[歯科, 矯正歯科, ]"
2023-09-03,しんぼ歯科クリニック,小松市地子町60番地,石川県小松市地子町60,,na,http://i-search.pref.ishikawa.jp/detail.php?rd_no=1132018,個人,新保 友康,新保 友康,"[歯科領域の一次診療, 無]",無,na,na,"[身体障害者用トイレ, 車椅子利用者用駐車場, ]",na,"[在宅患者訪問薬剤管理指導, 歯科訪問診療, 訪問歯科衛生指導, ]","[病院との連携, ]",1|-|-,na|-|-,na|-|-,2|-|-,25,36.406164,136.447384,5,"[歯科, 小児歯科, 矯正歯科, 歯科口腔外科, ]"
2023-09-03,すまいる歯科,金沢市高柳町十三字１番地１,石川県金沢市高柳町十三字1-1,,na,http://i-search.pref.ishikawa.jp/detail.php?rd_no=378,個人,申 寿道,申 寿道,"[歯科領域の一次診療, 無]","[埋伏歯抜歯, na]",na,na,"[車椅子利用者用駐車場, ]",na,na,na,1|-|-,na|-|-,na|-|-,1|-|-,15,36.59277767694041,136.6698364,5,"[歯科, 小児歯科, ]"
2023-09-03,すみやま歯科クリニック,金沢市近岡町420番地1,石川県金沢市近岡町420-1,,na,http://i-search.pref.ishikawa.jp/detail.php?rd_no=5130030,個人,隅山 高徳,隅山 高徳,"[歯科領域の一次診療, 無]",na,na,na,na,na,"[歯科訪問診療, 訪問歯科衛生指導, ]",na,1|-|-,1|-|-,na|-|-,2|-|-,33,36.6115043,136.6315328,6,"[歯科, ]"
2023-09-03,すみよし歯科医院,河北郡津幡町字庄ロ109-2,石川県河北郡津幡町字庄ﾛ109-2,,na,http://i-search.pref.ishikawa.jp/detail.php?rd_no=2230007,個人,梶 善博,梶 善博,"[歯科領域の一次診療, na]",na,na,na,na,na,na,na,1|-|-,1|-|-,na|-|-,1|-|-,25,36.674279,136.727392,6,"[小児歯科, 矯正歯科, 一般歯科, ]"
2023-09-03,せいとく歯科医院,七尾市富岡町61-1,石川県七尾市富岡町61-1,,na,http://i-search.pref.ishikawa.jp/detail.php?rd_no=3130015,個人,成徳 政人,成徳 政人,"[歯科領域の一次診療, 無]",na,na,na,na,na,"[歯科訪問診療, ]",na,1|-|-,na|-|-,na|-|-,na|-|-,10,37.050202,136.959955,6,"[歯科, ]"
2023-09-03,そのだ歯科医院,小松市梯町ロ39-1,石川県小松市梯町ﾛ39-1,,na,http://i-search.pref.ishikawa.jp/detail.php?rd_no=1132020,個人,園田 嘉彦,園田 嘉彦,"[歯科領域の一次診療, 無]",無,na,na,"[スロープ, ]",na,"[歯科訪問診療, ]","[病院との連携, 診療所との連携, ]",1|-|-,na|-|-,na|-|-,na|-|-,40,36.418224,136.449836,6,"[歯科, 小児歯科, 矯正歯科, 歯科口腔外科, ]"
2023-09-03,たかの歯科医院,小松市本町4-3,石川県小松市本町四丁目3,,na,http://i-search.pref.ishikawa.jp/detail.php?rd_no=1132022,個人,高野 淳,高野 淳,"[歯科領域の一次診療, 無]",na,na,na,na,na,na,na,1|-|-,1|-|-,na|-|-,4|-|-,25,36.403664,136.44515,6,"[歯科, ]"
2023-09-03,たか歯科医院,金沢市泉野町3-1-29,石川県金沢市泉野町三丁目1-29,,na,http://i-search.pref.ishikawa.jp/detail.php?rd_no=5130167,個人,髙 敏洋,髙 敏洋,"[歯科領域の一次診療, 無]",na,na,na,na,na,"[歯科訪問診療, ]","[病院との連携, 診療所との連携, ]",1|-|-,na|-|-,na|-|-,1|-|-,18,36.550323,136.650087,6,"[歯科, 小児歯科, ]"
2023-09-03,たきもと歯科医院,白山市相木町834-5,石川県白山市相木町834-5,,na,http://i-search.pref.ishikawa.jp/detail.php?rd_no=2130010,個人,瀧本 興一,瀧本 興一,"[歯科領域の一次診療, 無]",na,na,na,"[スロープ, ]",na,na,na,1|-|-,na|-|-,na|-|-,1|-|-,18,36.533351,136.56634,6,"[歯科, 小児歯科, ]"
2023-09-03,たけだ歯科クリニック,小松市下牧町己1街区17,石川県小松市下牧町己1-17,,na,http://i-search.pref.ishikawa.jp/detail.php?rd_no=1132048,個人,武田 禎慶,武田 禎慶,"[歯科領域の一次診療, 無]",na,na,na,na,na,na,na,2|-|-,na|-|-,na|-|-,1|-|-,na,36.408232,136.439647,6,"[歯科, 小児歯科, ]"
2023-09-03,ただ歯科クリニック,金沢市須崎町甲17番地,石川県金沢市須崎町甲17,,na,http://i-search.pref.ishikawa.jp/detail.php?rd_no=294,医療法人,ただ歯科クリニック,夛田 親平,"[歯科領域の一次診療, 予約診療有：初診・再診]",na,na,na,"[スロープ, ]",na,na,"[病院との連携, ]",1|-|-,na|-|-,na|-|-,4|-|-,25,36.6200366,136.638646,6,"[歯科, ]"
2023-09-03,たち歯科医院,金沢市畝田東3-522,石川県金沢市畝田東三丁目522,,na,http://i-search.pref.ishikawa.jp/detail.php?rd_no=5130040,個人,舘 恒徳,舘 恒徳,"[歯科領域の一次診療, 無]",na,na,na,"[スロープ, ]",na,na,na,2|-|-,na|-|-,na|-|-,1|-|-,20,36.5962229,136.616365,6,"[歯科, 小児歯科, 矯正歯科, ]"
